customer_id,city,address,latitude,longitude
CUST00000,Depok,Gg. Siliwangi No. 061,-6.419066,106.7517
CUST00001,Depok,Jl. HOS. Cokroaminoto No. 71,-6.451595,106.816475
CUST00002,Yogyakarta,Gg. Monginsidi No. 72,-7.808359,110.407351
CUST00003,Malang,Jl. Yos Sudarso No. 97,-7.97225,112.656404
CUST00004,Bekasi,Jalan Kebonjati No. 2,-6.21265,107.012568
CUST00005,Malang,Jl. Kutai No. 37,-7.923437,112.618289
CUST00006,Semarang,Jl. Lembong No. 30,-6.946068,110.404577
CUST00007,Surabaya,Jl. M.T Haryono No. 610,-7.271793,112.792244
CUST00008,Jakarta,Jalan S. Parman No. 105,-6.178784,106.885112
CUST00009,Cirebon,Gang Moch. Ramdan No. 6,-6.699944,108.522758
CUST00010,Kediri,Jl. Jamika No. 8,-7.82069,112.045842
CUST00011,Tangerang,Jalan Wonoayu No. 0,-6.189344,106.670273
CUST00012,Malang,Gang Kapten Muslihat No. 60,-7.926752,112.677399
CUST00013,Solo,Jalan Raya Setiabudhi No. 19,-7.615398,110.806102
CUST00014,Malang,Gg. Rajiman No. 84,-7.988143,112.59271
CUST00015,Serang,Gg. Rajawali Timur No. 028,-6.082992,106.191919
CUST00016,Surabaya,Gg. Jend. Sudirman No. 66,-7.304778,112.755953
CUST00017,Cirebon,Jalan Ciumbuleuit No. 04,-6.72828,108.594947
CUST00018,Jember,Jalan R.E Martadinata No. 35,-8.158552,113.746265
CUST00019,Semarang,Gg. Joyoboyo No. 39,-7.007012,110.379519
CUST00020,Semarang,Jalan Jamika No. 1,-7.014706,110.381225
CUST00021,Bandung,Jalan Kebonjati No. 7,-6.902655,107.651453
CUST00022,Yogyakarta,Jalan Sukabumi No. 23,-7.801957,110.40387
CUST00023,Yogyakarta,Gang Rajiman No. 36,-7.785107,110.376945
CUST00024,Solo,Jalan Setiabudhi No. 035,-7.548439,110.866186
CUST00025,Surabaya,Gg. Cempaka No. 804,-7.298366,112.797359
CUST00026,Jakarta,Jl. Yos Sudarso No. 08,-6.164525,106.846131
CUST00027,Semarang,Gang Cikapayang No. 7,-6.979149,110.402942
CUST00028,Jember,Jalan Tubagus Ismail No. 6,-8.151364,113.711988
CUST00029,Jakarta,Gang Setiabudhi No. 22,-6.162677,106.859785
CUST00030,Malang,Jalan Bangka Raya No. 36,-8.011227,112.607187
CUST00031,Jember,Jl. Jakarta No. 59,-8.204218,113.695216
CUST00032,Jember,Gg. Kapten Muslihat No. 28,-8.12853,113.680778
CUST00033,Bandung,Jl. Suryakencana No. 41,-6.908172,107.608276
CUST00034,Yogyakarta,Gg. Dipenogoro No. 342,-7.832292,110.393971
CUST00035,Depok,Gg. Jamika No. 06,-6.448014,106.768728
CUST00036,Surabaya,Gang Rajiman No. 6,-7.216542,112.719658
CUST00037,Bandung,Jl. Sentot Alibasa No. 955,-6.913178,107.657687
CUST00038,Surabaya,Jalan Stasiun Wonokromo No. 79,-7.266191,112.753323
CUST00039,Bogor,Gg. Ir. H. Djuanda No. 35,-6.576889,106.840651
CUST00040,Yogyakarta,Gang Cikutra Timur No. 6,-7.774862,110.358781
CUST00041,Bekasi,Gang W.R. Supratman No. 8,-6.228868,107.016216
CUST00042,Surabaya,Jalan M.T Haryono No. 5,-7.253571,112.738664
CUST00043,Bekasi,Jalan Pasirkoja No. 093,-6.275212,106.930382
CUST00044,Malang,Jl. Lembong No. 90,-7.97832,112.650126
CUST00045,Bandung,Jalan Ciumbuleuit No. 9,-6.908981,107.610282
CUST00046,Solo,Jalan Sadang Serang No. 3,-7.585436,110.823246
CUST00047,Jakarta,Gang Cikutra Timur No. 67,-6.180556,106.87982
CUST00048,Surabaya,Jalan Jayawijaya No. 996,-7.287065,112.706596
CUST00049,Yogyakarta,Jl. Veteran No. 4,-7.791807,110.347869
CUST00050,Jakarta,Gang Ronggowarsito No. 5,-6.201584,106.851015
CUST00051,Surabaya,Gg. Raya Ujungberung No. 27,-7.234282,112.784094
CUST00052,Semarang,Jalan Merdeka No. 042,-6.970249,110.445233
CUST00053,Surabaya,Jalan Dipenogoro No. 6,-7.219971,112.724125
CUST00054,Bandung,Jalan Suniaraja No. 18,-6.891039,107.608958
CUST00055,Malang,Gang Raya Setiabudhi No. 5,-7.922603,112.601396
CUST00056,Yogyakarta,Jalan Surapati No. 43,-7.810972,110.36285
CUST00057,Malang,Gang Pacuan Kuda No. 5,-7.944633,112.677534
CUST00058,Solo,Gang Pacuan Kuda No. 587,-7.554236,110.809526
CUST00059,Bandung,Gang Soekarno Hatta No. 99,-6.934913,107.58604
